year,metric,language,percent,sample_size,population,source_url,published_at
2017,jetbrains-used-last-12-months,Java,47,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,SQL,42,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,Python,32,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,PHP,30,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,C#,20,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,C++,17,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,C,15,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,TypeScript,12,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,Ruby,10,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,Swift,9,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,Go,8,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,Other,8,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,Objective-C,7,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,Scala,7,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,Visual Basic,5,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,CoffeeScript,3,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,Groovy,3,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,R,3,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,Clojure / CLJS,2,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,Kotlin,2,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,Elixir,1,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2017,jetbrains-used-last-12-months,Haskell,1,5000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2017/,
2018,jetbrains-planned-adoption,Go,16,6000,developers worldwide (weighting not stated on edition page),https://www.jetbrains.com/lp/devecosystem-2018/,
